Nr. Crt;Categorie;Compania;Brand;Denumirea promotiei;Data Start;Data Sfarsit;Durata zile;Durata luni;Slogan;Mecanism;Tip promotie;Validare; Valoare Premii ;Premii;Masina;Excursie;Instant;Zilnice;Saptamanale/ Lunare;La sfarsit de campanie;SMS;Website;APP;Facebook;Whatsapp;Clip YOUTUBE;Instagram;;
482;Food;FERRERO ROMANIA S.R.L;Kinder;„2 pasi pana la magazinul tau, 3 pasi pana la premiul Kinder”;05/05/2021;31/05/2021;;;„2 pasi pana la magazinul tau, 3 pasi pana la premiul Kinder”;Cump?r? produse Kinder în valoare de minim 7 lei pe un singur bon fiscal din magazinele La Doi Pa?i, înscrie bonul fiscal împreun? cu datele personale pe site-ul campaniei promo?ionale 2 pa?i pân? la magazinul t?u, 3 pa?i pân? la premiul Kinder sau trimite-l prin SMS la num?rul 1813 ?i po?i câ?tiga prin tragere la sor?i ;Buy&send;Formular contact&SMS;24,500;50 de telefoane mobile Nokia 2.4.;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
483;Retail;MEGA IMAGE S.R.L.;Mega Image;E timpul alegerilor castigatoare!;19/04/2021;30/05/2021;;;E timpul alegerilor castigatoare!;"Cump?r? din magazinele Mega Image ?i Shop&Go sau din magazinul online Mega Image, pl?te?te cu cardul t?u Mastercard sau Maestro ?i po?i câ?tiga;Trimite valoarea tranzac?iei prin SMS la num?rul 1812 sau înscrie-te pe site-ul campaniei promo?ionale Mega Image";Buy&send;Formular contact&SMS;66,653;"o trotinet? electric? Xiaomi Mi Pro;15 vouchere de cump?r?turi Mega Image în valoare de 100 lei;apartament cu 2 camere în valoare de 60.000 euro";Nu;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
484;Food;Fererro Romania SRL;Kinder;„KINDER - VARA ASTA, KINDERESTE SI BICICLESTE!”;15/05/2021;15/06/2021;;;„KINDER - VARA ASTA, KINDERESTE SI BICICLESTE!”;Cump?r? produse Kinder de cel pu?in 25 de lei din magazinele Selgros, înscrie factura fiscal? pe site-ul campaniei promo?ionale sau trimite num?rul bonului fiscal împreun? cu datele personale prin SMS la num?rul 1846 ?i po?i câ?tiga ;Buy&send;Formular contact&SMS;60,970;2 scutere Piaggio Liberty 50, 5 trotinete electrice Ninebot KickScooter E45E Powered by Segway ?i 10 biciclete Pegas Strada 1 Ro?u Dictator.;Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
485;Health;SC SARANTIS ROMÂNIA ;STR8;“STR8 – BE A FR34K”;01/05/2021;30/06/2021;;;“STR8 – BE A FR34K”;Cump?r? oricare dou? produse STR8, înscrie bonul fiscal prin SMS la num?rul 1846 sau pe site-ul campaniei promo?ionale ?i e?ti cu un pas mai aproape de a câ?tiga;Buy&send;Formular contact&SMS;                            15,082.04 ;" o consol? Sony Playstation 5, 2 perechi de c??ti wireless JBL, 2 skateboarduri Skully; 2 biciclete BMX Arus 20, 2 voucher sneakers personaliza?i de 1.000 de lei, 2 rucsaci munte Aircontact ?i 7 vouchere magazin sportiv în valoare de 300 de lei";Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
486;Food;NESTLÉ ROMANIA S.R.L.;Joe;„D? restart la prietenie ?i câ?tig? premii irezistibile”;04/04/2021;15/05/2021;;;„D? restart la prietenie ?i câ?tig? premii irezistibile”;Cumpa?ra? produse JOE de cel put?in 7.99 lei pe un singur bon fiscal, i?nscrie bonul fiscal împreun? cu datele personale pe site-ul campaniei promo?ionale JOE sau trimite-l prin SMS la num?rul 3576 s?i pot?i câ?tiga;Buy&send;Formular contact&SMS;188,173;"24 telefoane mobile Apple iPhone 12 Pro 128GB 5G;10.000 euro.";Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
487;Food;US FOOD NETWORK S.A;KFC;“KFC CEVA CU ROTI”;01/04/2021;12/05/2021;;;“KFC CEVA CU ROTI”;Cump?r? cu livrare la domiciliu unul dintre produsele participante, CEVA Box sau CEVA Bucket prin serviciile KFC delivery, call?center (*1100) sau agregatori (Glovo, Foodpanda, Tazz by Emag, Takeaway) ?i înscrie codul unic promo?ional de pe bonul fiscal pe site-ul campaniei promo?ionale KFC CEVA CU RO?I sau trimite-l prin SMS la num?rul 1718.;Buy&send;Formular contact&SMS;                         247,770.68;" o trotinet? electric? Xiaomi Mi 1S;o ma?in? Mini Cooper S Hatch.";Da;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
488;Food;DR. OETKER RO S.R.L.;Inedit;„Cu un stil de viata echilibrat poti castiga premiul preferat’’;15/03/2021;02/05/2021;;;„Cu un stil de viata echilibrat poti castiga premiul preferat’’;Cump?r? produse Inedit de minimum 10 lei ?i înscrie-te în concurs pentru a câ?tiga premii la alegere!;Buy&send;Formular contact;23,816; 7 br???ri fitness Garmin Vivosport sau 7 eBook Reader Kindle Paperwhite, 7 trotineta electrice Freewheel Rider Kool sau 7 biciclete MTB Rich, 10 aparate de g?tit cu aburi Tefal sau 11 gr?tare electrice Tefal.;Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
489;food;DR. OETKER RO S.R.L.;Carmin;„Universul Carmin. Experimenteaza si tu!”;22/03/2021;10/05/2021;;;„Universul Carmin. Experimenteaza si tu!”;Cump?r? oricare dintre produsele Carmin, înscrie pe site num?rul ?i data bonului fiscal ?i po?i câ?tiga un telescop profesional sau alte premii astronomice.;Buy&send;Formular contact;11,422;un telescop Newton Acuter, sau marele premiu la final de campanie, un telescop refractor profesional SkyWatcher.;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
490;Drink;DanoneProduc?ie si Distribu?ie de Produse Alimentare S.R.L.;Actimel;"Multumesc-O-Metru """;01/02/2021;31/03/2021;;;"Multumesc-O-Metru """;Cump?r? orice produs Actimel participant la campania promo?ional?,înscrie num?rul bonului fiscal, data achizi?iei împreun? cu datele personale pe site-ul campaniei promo?ionale ?i po?i câ?tiga prin tragere la sor?i;Buy&send;Formular contact;10,200;18 vouchere Adidas în valoare de 500 euro fiecare.;Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;;
491;Food;Intersnacks Romania S.R.L;Chio;Castiga premii de senzatie;01/10/2021;31/01/2021;;;Castiga premii de senzatie;Cump?r? orice produs Chio cu benti?? promo?ional?, înscrie codul unic promo?ional în formularul de concurs sau trimite-l prin SMS la num?rul 1806 ?i po?i câ?tiga premii de senza?ie:;Buy&send;SMS;66,000;"64 de telefoane mobile Apple iPhone 11 Pro 64GB;9 console Microsoft Xbox One X 1TB;o ma?in? Jeep Wrangler Rubicon Unlimited";Da;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Da;Nu;Nu;Nu;;
492;Food;Societatea AMYLON S.C;Halva;Castiga premii ce readuc bucuria de a sta la povesti;09/11/2021;24/12/2021;;;Castiga premii ce readuc bucuria de a sta la povesti;Cump?r? orice halva Feleacul, înscrie bonul fiscal pe site-ul campaniei promo?ionale sau prin SMS la num?rul 1846 cu textul FELEACUL urmat de num?rul bonului fiscal ?i câ?tiga;Buy&send;SMS;13,499;"un voucher eMAG în valoare de 5.000 lei; 10 ma?ini de f?cut pâine Tefal Pain & Delices PF240;30 de pachete cu dulciuri Feleacul";Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
493;Food;Aquila Part Prod Com S.R.L;Rama;"""Gusturi bune si cumparaturi in siguranta in acest sezon: Castiga Vouchere online cu Rama""";16/11/2021;20/12/2021;;;"""Gusturi bune si cumparaturi in siguranta in acest sezon: Castiga Vouchere online cu Rama""";Cump?r? oricare 3 produse Rama sau un pachet promo?ional Rama 4x250gr, înscrie bonul fiscal pe site-ul campaniei promo?ionale ?i po?i câ?tiga prin tragere la sor?i;Buy&send;Formular contact;12,500;" 25 vouchere eMAG în valoare de 300 lei;un voucher eMAG în valoare de 5.000 de lei.";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
494;Drink;UNITED ROMANIAN BREWERIES BEREPROD SRL;SKOL;“Cu un SKOL racoritor, poti deveni castigator!”;08/07/2021;04/11/2021;;;“Cu un SKOL racoritor, poti deveni castigator!”;Cump?r? orice produs SKOL din magazinele participante ?i bucur?-te de premii. Po?i câ?tiga prin tragere la sor?i;Buy&send;Formular contact;                         138.314.40;"2 ma?ini Renault Clio 4 Life Evo;17 frigidere cu dou? u?i LDK LF 220 RED, 207l; 3 baxuri de bere Skol sau unul dintre cele 120 de gratare.";Da;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
495;Drink;HEINEKEN ROMANIA S.A;Ciuc;Ciuc inca un premiu si ma duc!;23/07/2021;30/08/2021;;;Ciuc inca un premiu si ma duc!;Cump?r? produse Ciuc Premium, Ciuc IPA sau Ciuc Weizen în valoare de 12 lei din orice magazin din re?eaua Carrefour Hypermarket sau Carrefour Supermarket, înscrie bonul fiscal ?i po?i câ?tiga prin tragere la sor?i;Buy&send;Formular contact;                           15.973.41;"3 telefoane mobile Samsung Galaxy Note 10+;3 ceasuri Garmin Vivoactive 3.";Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
496;Cleaning;S.C. New View S.R.L;Ferry;Craciun cu de toate si vase rapid curatate!;02/12/2021;31/12/2021;;;Craciun cu de toate si vase rapid curatate!;Cump?ra Fairy din Carrefour ?i las? magia s? înceap?!si inscrie bonul pe site;Buy&send;Formular contact;                           27.310.00;10 x Ma?in? de sp?lat vase Whirlpool;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
497;Health;S.C New View S.R.L;Pampers;Castiga cu Pampers Premium si cu Help NET!;01/12/2021;31/01/2021;;;Castiga cu Pampers Premium si cu Help NET!;Cump?r? produse Pampers Premium Care din Farmaciile Help Net participante.Încarc? imaginea cu bonul ?i num?rul acestuia în formularul de mai jos.Pastreaza bonul pentru validare;Buy&send;Formular contact;60,000;"10x cupon cadou CHICCO de 100 RON;10x cupon cadou CHICCO de 500 RON";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
498;Drink;Angelli Spumante & Aperitive S.R.L;Angelli;“Las? pasiunea s? conduc?! Angelli te premiaz?”;01/11/2021;15/01/2021;;;“Las? pasiunea s? conduc?! Angelli te premiaz?”;Cumpara oricare din produsele participante la Concurs si completeaza formularul de pe angelli.ro;Buy&send;Formular contact;                              62855.8;"o masina Hyundai i20 rosu;Pachete Cuvee Imperial/Cherry/Elegance  +  2 pahare";Da;Nu;Nu;Da;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
499;Technology;ROBERT BOSCH S.R.L;Bosch;„E?ti câ?tig?tor cu bateriile Bosch”;01/12/2021;28/02/2021;;;„E?ti câ?tig?tor cu bateriile Bosch”;Cumpara o baterie auto Bosch si inscrie numarul bonului fiscal sau al facturii prin SMS la numarul 3724 sau pe myboschservice.ro ;Buy&send;Formular contact&SMS;266,795;" o masina electrica Volkswagen ID.3;100 de vouchere în valoare de 500 de lei";Da;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
500;Food;ETI European Food Industries S.A;Dare;Dare iti indeplineste toate visele”;20/10/2021;20/12/2021;;;Dare iti indeplineste toate visele”;chizitionezi, inclusiv online, in perioada campaniei oricare produs participant, apartinand brandului Dare, in valoare cumulata de minimum 10 lei, pe acelasi bon fiscal.;Buy&send;Formular contact;                              104000 ;"60 x Card Big Prize in valoare de 600 lei fiecare; 1 x Card in valoare de 60000 lei;10 x Samsung Galaxy A21 in valoare de 800 lei fiecare";Nu;Nu;Nu;Da;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
501;Technology;NETWORK ONE DISTRIBUTION S.R.L;Heinner;„10 ani de tot mai bine impreuna – Castiga bucataria visurilor tale”;15/10/2021;21/12/2021;;;„10 ani de tot mai bine impreuna – Castiga bucataria visurilor tale”;Achizi?ioneaz? orice produs electrocasnic Heinner, trimite SMS la num?rul 1766 cu num?rul bonului sau al facturii al?turi de numele t?u complet (exemplu: 12345 Mircea Popescu) ?i e?ti înscris automat în tragerea la sor?i;Buy&send;Formular contact&SMS;                         106,051.47;"10 pachete cu electrocasnice Heinner;o buc?t?rie complet mobilat? ?i utilat? cu electrocasnice Heinner.";Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
502;Retail;Orange Romania S.A.(;yoxo;”Castiga cu Yoxo”;12/04/2021;11/07/2021;;;”Castiga cu Yoxo”;Aboneaz?-te la newsletter-ul YOXO ?i po?i câ?tiga prin tragere la sor?i;Send;Formular contact;                           21,268.89;9 smartphone-uri OnePlus 8T 128GB Aquamarine Green DS;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
503;Cleaning;S.C New View S.R.L;Ariel PODS;Incearca Ariel PODS si castiga premii de nerefuzat;04/05/2021;30/06/2021;;;Incearca Ariel PODS si castiga premii de nerefuzat;R?spunde la cele 2 întreb?ri bifând r?spunsul t?u pe pagina de concurs ?i intri în tragerea la sor?i;Send;Formular contact;                           25.801.00;"100Xvoucher eMAG în valoare de 100 de lei;3Xsmartphone iPhone 12 128GB 5G.";Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
504;Food;FERRERO ROMANIA S.R.L;Kinder;„KINDER - VARA ASTA, KINDERESTE SI BICICLESTE!”;15/05/2021;15/06/2021;;;„KINDER - VARA ASTA, KINDERESTE SI BICICLESTE!”;Cump?r? produse Kinder de cel pu?in 25 de lei din magazinele Selgros, înscrie factura fiscal? pe site-ul campaniei promo?ionale sau trimite num?rul bonului fiscal împreun? cu datele personale prin SMS la num?rul 1846 ?i po?i câ?tiga ;Buy&send;Formular contact&SMS;60,970;" 2 scutere Piaggio Liberty 50;5 trotinete electrice Ninebot KickScooter; 10 biciclete Pegas Strada ";Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
505;Food;FERRERO ROMANIA S.R.L;Kinder;„2 pasi pana la magazinul tau, 3 pasi pana la premiul Kinder”;05/05/2021;31/05/2021;;;„2 pasi pana la magazinul tau, 3 pasi pana la premiul Kinder”;Cump?r? produse Kinder în valoare de minim 7 lei pe un singur bon fiscal din magazinele La Doi Pa?i, înscrie bonul fiscal împreun? cu datele personale pe site-ul campaniei promo?ionale 2 pa?i pân? la magazinul t?u, 3 pa?i pân? la premiul Kinder sau trimite-l prin SMS la num?rul 1813 ?i po?i câ?tiga prin tragere la sor?i ;Buy&send;Formular contact&SMS;24,500;50 de telefoane mobile Nokia 2.4.;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
506;Retail;MEGA IMAGE S.R.L.;Mega Image;E timpul alegerilor castigatoare!;19/04/2021;30/05/2021;;;E timpul alegerilor castigatoare!;"Cump?r? din magazinele Mega Image ?i Shop&Go sau din magazinul online Mega Image, pl?te?te cu cardul t?u Mastercard sau Maestro ?i po?i câ?tiga;Trimite valoarea tranzac?iei prin SMS la num?rul 1812 sau înscrie-te pe site-ul campaniei promo?ionale Mega Image";Buy&send;Formular contact&SMS;66,653;"o trotinet? electric? Xiaomi Mi Pro 2;15 vouchere de cump?r?turi Mega Image în valoare de 100 lei fiecare";Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
507;Benzina;Rompetrol Downstream S.R.L;Rompetrol;Hai la joaca!;10/12/2021;31/01/2021;;;Hai la joaca!;"Achizi?ionezi carburant Rompetrol sau produse hei în valoare de cel pu?in 120 de lei ?i înscrii codul promo?ional de pe bonul fiscal prin:SMS la 1862*;Aplica?ia Rompetrol Go;Formularul de pe site;WhatsApp
Mesaj la num?rul:0759.055.343";Buy&send;Formular contact&SMS;                         190.800.00;"3Xmasini Jeep Renegade;1Xcard combustibil de 150 lei";Da;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Da;Nu;Nu;;
508;Benzina;SC OMV PETROM Marketing S.R.L;Petrom;",,Opinia ta conteaza din plin""";01/10/2021;31/10/2021;;;",,Opinia ta conteaza din plin""";Alimenteaza sau achizi?ioneaza produse din sta?iile Petrom, încarca bonul de casa pe site-ul de concurs petrom.ro + completeaza chestionarul online ?i spune cum te-ai sim?it în sta?ie.;Buy&send;Formular contact;6,000;3 x voucher de carburant de 2.000 lei;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;;
509;Health;S.C. New View S.R.L;Gillette;Fiecare vara are povestea ei;15/06/2021;31/08/2021;;;Fiecare vara are povestea ei;Achizitioneaza din orice magazin,un produs Gillette Venus,inscrie bonul fiscal pe site si poti castiga;Buy&send;Formular contact;                          24.267.00;"78XVoucher Sephora;3Xvoucher Excursie";Nu;Da;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
510;Health;S.C. New View S.R.L;Pampers;Pampers si La Doi Pasi te premiaza;01/06/2021;30/06/2021;;;Pampers si La Doi Pasi te premiaza;Achizitioneaza din magazinele La Doi Pasi scutece-chilotel Pampers Pants indiferent de valoare si inscrie bonul pe site;Buy&send;Formular contact;                              5.556.00;"4Xcard cadou eMag pentu bebelusi 950.00;1Xcard cadou eMag pentru bebelusi 1500.00";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
511;Health;S.C. New View S.R.L;Gillette;Pielea mea,alegerea mea,vara mea perfecta!;10/06/2021;04/08/2021;;;Pielea mea,alegerea mea,vara mea perfecta!;Achizitioneaza din magazinele Carrefour minim un produs Gillette Venus participant la campanie,inscrie bonul fiscal pe site;Buy&send;Formular contact;                              3142.74;56XKit pentru plaja;Nu;Nu;Nu;Da;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
512;Food;NESTLE ROMANIA S.R.L;Nestle;Nestle Baby & Me Caravana Sept/Oct 2021;01/09/2021;27/10/2021;;;Nestle Baby & Me Caravana Sept/Oct 2021;"Achizitioneaza oricare dintre produsele participante Nestlé in valoare de minim 100 RON din magazinele partenere Kaufland, Carrefour Hypermarket, Auchan si Cora;Trimite numarul bonului fiscal si magazinul emitent prin SMS la 1821";Buy&send;SMS;                        127.750.00;"141XVoucher Kaufland in valoare de 250 lei;170Xpremiu in bani in valoare de 250 lei;1XPremiu in bani in valoare de 10.000Euro";Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Da;Nu;Nu;Nu;;
513;Food; Kandia Dulce SA;Magura;“Câ?tig? dintr-o îmbr??i?are ?i hai prin ?ar? la plimbare!”;01/09/2021;10/11/2021;;;“Câ?tig? dintr-o îmbr??i?are ?i hai prin ?ar? la plimbare!”;"Achizitioneaza orice produs Magura;Inscrie bonul fiscal pe magura.ro sau trimite SMS la 1819";Buy&send;SMS;                        138,210.86 ;"1 masina Dacia Spring 100% electrica;710Xcutii Magura;10X voucher 1000Ron";Da;Da;Nu;Da;Da;Da;Da;Nu;Nu;Da;Nu;Nu;Nu;;
514;Drink;Albalact S.A;Albalact;"""Te bucuri de gust, castigi noi amintiri""";26/08/2021;13/10/2021;;;"""Te bucuri de gust, castigi noi amintiri""";"Achizitioneaza un produs Albalact participant la campanie,Inscrie numarul bonului fiscal pe lactatealbalact.ro

 ";Buy&send;Formular contact;                           10,949.45;1 Voucher pentru un Weekend in Apuseni, 5 Scaune Balansoar Kring pliabil si 50 Suporturi laptop;Nu;Da;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
515;Drink;MSA FULL SERVICE SRL ;Angelli; “Tu alegi gustul verii!”;15/06/2021;12/09/2021;;; “Tu alegi gustul verii!”;Spune intr-un comentariu care este cocktailul tau Angelli favorit din cele 5 variante: Pesca, Fragola, Kir Royal, Mango si Cherry,Tag-uieste o persoana cu care vrei sa te bucuri de cocktailul ales;Send;Formular contact;5,250;1 smartphone de ultima generatie,2 sticle de cocktail;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Da;Nu;Nu;Nu;;
516;Cleaning;UNILEVER SOUTH CENTRAL EUROPE S.A;Cocolino;“Incearca noul detergent Coccolino Care si castiga”;21/10/2021;03/11/2021;;;“Incearca noul detergent Coccolino Care si castiga”;Achizitioneaza oricare produs Coccolino detergent si/sau balsam in valoare de minimum 30 de lei pe acelasi bon fical,Inscrie bonul pe unilevertepremiaza.ro;Buy&send;Formular contact;23,788;10 masini de spalat,41 pachete cu produse Coccolino;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
517;Cleaning;SC SARANTIS ROMANIA SA;Wash & Go;“WASH & GO – YOUR BURST OF ENERGY”;01/07/2021;31/08/2021;;;“WASH & GO – YOUR BURST OF ENERGY”;Achizitioneaza doua produse Wash & Go,Inscrie bonul fiscal prin SMS la 1846 cu textul SUMMER urmat de numarul bonului fiscal sau pe burstofenergy.ro;Buy&send;Formular contact&SMS;                           12,788.88;1 Voucher excursie Catamaran in valoare de 1500 euro, 3 Vouchere Palarie Personalizata in valoare de 200 euro sau 5 Borsete de Designer WearWear;Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
518;Food;Fabrica lapte SA Bra?ov SA;Olympus;Evadeaza in vacanta cu Olympus;18/06/2021;08/08/2021;;;Evadeaza in vacanta cu Olympus;Achizitioneaza cel putin 2 produse participante la promotie,Inregistreaza bonul fiscal pe site si gusta vara din plin;Buy&send;Formular contact;66,500;1 vacanta in Grecia cu familia, 80 de plinuri de carburant la Rompetrol sau 1000 de vouchere pentru mic dejun;Nu;Da;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
519;Food;S.C. MACROMEX S.R.L.;Corso;Traieste-ti vara cu premii cool!;01/06/2021;14/07/2021;;;Traieste-ti vara cu premii cool!;Achizitioneaza orice inghetata Corso din magazinele Mega Image,Incarca poza bonului fiscal,Completeaza formularul de inscriere;Buy&send;Formular contact;3,799;1 Ultrabook 2in1 Lenovo IdeaPad Flex 5;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
520;Food;S.C. MACROMEX S.R.L.;La Strada;Cucereste strada cu bicicletele La Strada!;01/06/2021;31/07/2021;;;Cucereste strada cu bicicletele La Strada!;" Achizitioneaza orice inghetata La Strada; Incarca poza bonului fiscal si completeaza formularul de inscriere pe site";Buy&send;Formular contact;16,200;9 biciclete Torpado cu model zebra;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
521;Drink;Societatea ALEXANDRION TRADING S.R.L.;The Iconic Estate;“Castiga salariul pe un an cu vinurile The Iconic Estate”;01/12/2020;31/01/2021;;;“Castiga salariul pe un an cu vinurile The Iconic Estate”;Achizitioneaza orice produs participant The Iconic Estate,Inscrie-te cu bonul fiscal prin SMS la numarul 3718 sau pe site;Buy&send;Formular contact&SMS;60,524;"1 masina Fiat 500 Hybrid;2 EBOOK READER;27 vouchere de cumparaturi in valoare de 150 ron fiecare";Da;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
522;Food;Froneri Ice Cream Romania SRL;Aloma;Aloma te trimite intr-o vacanta de vis!;01/08/2021;31/08/2021;;;Aloma te trimite intr-o vacanta de vis!;"Achizitioneaza inghetata Nirvana din Lidl;Descarca app Lidl Plus si scaneaza la casa si inscrie bonul pe site";Buy&send;Formular contact;                           30.172.50;"4 vacante in Romania (la munte sau la mare); 4 aparate foto DSLR Nikon D7500";Nu;Da;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
523;Cleaning;Farmec SA;Nufar;In prag de sarbatoare,premii surprinzatoare!;01/12/2021;31/12/2021;;;In prag de sarbatoare,premii surprinzatoare!;Achizi?ioneaz? din magazinele Penny orice produs comercializat de Farmec, prezint? cardul Penny la casa de marcat ?i po?i câ?tiga prin tragere la sor?i;Buy&send;Formular contact;                            26.252.4;"3 x biciclete electrice;100 de co?uri cu produse Nuf?r Verde";Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
524;Health;Farmec SA;Gerovital;Cumpara pentru cei dragi si premi magice atragi!;01/12/2021;24/12/2021;;;Cumpara pentru cei dragi si premi magice atragi!;Achizi?ioneaz? oricare dou?  produse Gerovital, înscrie bonul/factura fiscal? aici si po?i câ?tiga, prin tragere la sor?i:;Buy&send;Formular contact;3,000;3 x Vouchere de vacant?, în valoare de 1000 lei fiecare;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
525;Health;Farmec SA;Gerovital H3;Campanie aniversara Auchan!;06/10/2021;26/10/2021;;;Campanie aniversara Auchan!;Achizi?ioneaz? din magazinele Auchan minim un produs pentru îngrijirea fe?ei din gamale Gerovital H3 clasic,Gerovital H3 Retinol,Gerovital H3 Hyaluron C sau Gerovital Plant, înscrie bonul fiscal aici ?i po?i câ?tiga prin tragere la sor?i;Buy&send;Formular contact;                             6.762.89;"1 x week-end la SPA;33 x seturi aromaterapie";Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
526;Health;Farmec SA;Gerovital;Campanie Auchan Gerovital!;14/07/2021;18/08/2021;;;Campanie Auchan Gerovital!;Achizi?ioneaz? din magazinele Auchan minim un gel de du?,?ampon sau deodorant Gerovital, înscrie bonul fiscal aici ?i po?i câ?tiga prin tragere la sor?;Buy&send;Formular contact;                               9.456.3;"10 x perii rotative;25 x br???ri fitness;35 x co?uri cu produse Gerovital";Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
527;Health;Farmec SA;Gerovital Sun;Campanie nationala Gerovital Sun!;09/06/2021;20/03/2316;;;Campanie nationala Gerovital Sun!;Achizi?ioneaz? minim un produs de protec?ie solar? Gerovital, înscrie bonul/factura fiscal? aici si po?i câ?tiga;Buy&send;Formular contact;                             20.860.4;"10 x corturi;50 x set ?ezlonguri;100 x umbrele de plaj?";Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
528;Food;Mondelez Romania S.A.;Toblerone;“Câ?tig? un munte de ciocolat? Toblerone”;10/12/2021;16/12/2021;;;“Câ?tig? un munte de ciocolat? Toblerone”;Participantul trebuie sa intre pe pagina de Instagram Toblerone Romania (https://www.instagram.com/toblerone.romania), sa dea follow paginii Toblerone Romania si sa lase un comentariu la postarea dedicat? concursului.;Send;Formular contact;                                9.590.4;30Xpachet de produse toblerone;Nu;Nu;Nu;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;Nu;Da;;
529;Health;Farmec SA;Gerovital Sun&Neversea;Campanie nationala Gerovital Sun-Friends of the Sun,Friends of the Fun!;25/06/2021;15/08/2021;;;Campanie nationala Gerovital Sun-Friends of the Sun,Friends of the Fun!;Achizi?ioneaz? minim un produs Gerovital Sun Edi?ie Special? Neversea, înscrie bonul/factura fiscal? aici si po?i câ?tiga s?pt?mânal, prin tragere la sor?i:;Buy&send;Formular contact;8,246;14 x Pachete Premium pe plaja Neversea;Nu;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
